Codigo,Nombre,URL,Fecha
cod. NATARG-186,Eau de Parfum Masculino Homem Cor.Agio 100ml,https://www.naturacosmeticos.com.ar/p/homem-coragio-masculino--eau-de-parfum-100-ml/NATARG-186?position=1&listTitle=category+page+list+showcase+-+todos+productos,16/06/2026 16:09
cod. NATARG-215285,Kit Humor A Dois: Eau De Toilette 25ml + Jabón,https://www.naturacosmeticos.com.ar/p/kit-humor-a-dois-eau-de-toilette-25ml--jabon/NATARG-215285?position=896&listTitle=category+page+list+showcase+-+todos+productos,16/06/2026 16:09
cod. NATARG-231312,Kit Tododia Mora y Flor de Durazno,https://www.naturacosmeticos.com.ar/p/kit-tododia-mora-y-flor-de-durazno/NATARG-231312?position=916&listTitle=category+page+list+showcase+-+todos+productos,16/06/2026 16:09
